zh,en,url
先祖冠冕,Ancestral Tiara,https://poe2db.tw/cn/Ancestral_Tiara
嵌刃便鞋,Bladed Shoes,https://poe2db.tw/cn/Bladed_Shoes
卡迪罗的赌局,Cadiro's Gambit,https://poe2db.tw/cn/Cadiros_Gambit
骑兵长靴,Cavalry Boots,https://poe2db.tw/cn/Cavalry_Boots
海盗外套,Corsair Coat,https://poe2db.tw/cn/Corsair_Coat
捷足便鞋,Daggerfoot Shoes,https://poe2db.tw/cn/Daggerfoot_Shoes
沙漠帽,Desert Cap,https://poe2db.tw/cn/Desert_Cap
浸润咒符,Dousing Charm,https://poe2db.tw/cn/Dousing_Charm
帝金项链,Gold Amulet,https://poe2db.tw/cn/Gold_Amulet
金光戒指,Gold Ring,https://poe2db.tw/cn/Gold_Ring
宏伟护腕,Grand Bracers,https://poe2db.tw/cn/Grand_Bracers
猎首,Headhunter,https://poe2db.tw/cn/Headhunter
西赛格之爪,Hysseg's Claw,https://poe2db.tw/cn/Hyssegs_Claw
拉维安加之灵,Lavianga's Spirits,https://poe2db.tw/cn/Laviangas_Spirits
新生希望,Nascent Hope,https://poe2db.tw/cn/Nascent_Hope
毁灭者之弓,Obliterator Bow,https://poe2db.tw/cn/Obliterator_Bow
三相戒指,Prismatic Ring,https://poe2db.tw/cn/Prismatic_Ring
生皮腰带,Rawhide Belt,https://poe2db.tw/cn/Rawhide_Belt
仪式通道,Rite of Passage,https://poe2db.tw/cn/Rite_of_Passage
符文坚固裹手,Runeforged Secured Wraps,https://poe2db.tw/cn/Runeforged_Secured_Wraps
真银咒符,Silver Charm,https://poe2db.tw/cn/Silver_Charm
滑击背心,Slipstrike Vest,https://poe2db.tw/cn/Slipstrike_Vest
星辉项链,Stellar Amulet,https://poe2db.tw/cn/Stellar_Amulet
融冰咒符,Thawing Charm,https://poe2db.tw/cn/Thawing_Charm
落刃时刻,The Fall of the Axe,https://poe2db.tw/cn/The_Fall_of_the_Axe
终极生命药剂,Ultimate Life Flask,https://poe2db.tw/cn/Ultimate_Life_Flask
终极魔力药剂,Ultimate Mana Flask,https://poe2db.tw/cn/Ultimate_Mana_Flask
飞矢箭袋,Volant Quiver,https://poe2db.tw/cn/Volant_Quiver
寻战之弓,Warmonger Bow,https://poe2db.tw/cn/Warmonger_Bow
