分支,原始行号,范围,中文,ID,名称状态,来源
01 初期参考,1,公共,投射物伤害,projectiles15,DSH词典待复核,
01 初期参考,2,公共,投射物伤害,projectiles22,DSH词典待复核,
01 初期参考,3,公共,投射物伤害,projectiles8,DSH词典待复核,
01 初期参考,4,公共,投射物伤害,projectiles14,DSH词典待复核,
01 初期参考,5,公共,娴熟本能,ranger_huntress_notable2,简体资料有来源,https://poe2db.tw/cn/Honed_Instincts
01 初期参考,6,公共,投射物伤害,projectiles16,DSH词典待复核,
01 初期参考,7,公共,一击中的,projectiles23,DSH词典待复核,
01 初期参考,8,公共,投射物伤害,projectiles17,DSH词典待复核,
01 初期参考,9,公共,投射物伤害,ranged6,DSH词典待复核,
01 初期参考,10,公共,属性,dexterity19,DSH词典待复核,
01 初期参考,11,公共,属性,dexterity20,DSH词典待复核,
01 初期参考,12,公共,属性,attributes29,DSH词典待复核,
01 初期参考,13,公共,属性,dexterity34,DSH词典待复核,
01 初期参考,14,公共,元素伤害和感电几率,elemental28,DSH词典待复核,
01 初期参考,15,公共,元素伤害和感电几率,elemental25,DSH词典待复核,
01 初期参考,16,公共,元素伤害和感电几率,elemental18,DSH词典待复核,
01 初期参考,17,公共,驾驭元素,elemental32,DSH词典待复核,
01 初期参考,18,公共,元素伤害与冻结积蓄,elemental16,DSH词典待复核,
01 初期参考,19,公共,元素伤害与冻结积蓄,elemental26,DSH词典待复核,
01 初期参考,20,公共,元素伤害与冻结积蓄,elemental27,DSH词典待复核,
01 初期参考,21,公共,属性,dexterity40,DSH词典待复核,
01 初期参考,22,公共,属性,dexterity39,DSH词典待复核,
01 初期参考,23,公共,攻击速度,attack_speed57,DSH词典待复核,
01 初期参考,24,公共,灵敏连击,attack_speed60_,DSH词典待复核,
01 初期参考,25,公共,属性,dexterity11,DSH词典待复核,
01 初期参考,26,公共,属性,dexterity10,DSH词典待复核,
01 初期参考,27,公共,属性,dexterity5,DSH词典待复核,
01 初期参考,28,公共,属性,dexterity6,DSH词典待复核,
01 初期参考,29,公共,冻结积蓄,cold29,DSH词典待复核,
01 初期参考,30,公共,群山的精华,cold39__,DSH词典待复核,
01 初期参考,31,公共,冻结积蓄,cold28,DSH词典待复核,
01 初期参考,32,公共,迷踪步履,shadow_monk_notable2,简体资料有来源,https://poe2db.tw/cn/Step_Like_Mist
01 初期参考,33,公共,闪避和能量护盾,evasion_and_energy_shield27,DSH词典待复核,
01 初期参考,34,公共,机警感知,evasion_and_energy_shield35_,DSH词典待复核,
01 初期参考,35,公共,闪避和能量护盾,evasion_and_energy_shield26,DSH词典待复核,
01 初期参考,36,公共,势如流水,shadow_monk_notable1,简体资料有来源,https://poe2db.tw/cn/Flow_Like_Water
01 初期参考,37,公共,技能速度,attack_speed46,DSH词典待复核,
01 初期参考,38,公共,行云流水,attack_speed37,DSH词典待复核,
01 初期参考,39,公共,闪避,evasion17_,DSH词典待复核,
01 初期参考,40,公共,动如脱兔,evasion31,DSH词典待复核,
01 初期参考,41,公共,珠宝插槽,jewel_slot1960,DSH词典待复核,
01 初期参考,42,公共,属性,dexterity12_,DSH词典待复核,
01 初期参考,43,公共,元素攻击伤害,elemental_attacks6,DSH词典待复核,
01 初期参考,44,公共,催化反应,elemental_attacks8,DSH词典待复核,
01 初期参考,45,公共,属性,dexterity54,DSH词典待复核,
01 初期参考,46,公共,攻击伤害,attack6,DSH词典待复核,
01 初期参考,47,公共,攻击伤害和移动速度,attack2,DSH词典待复核,
01 初期参考,48,公共,属性,dexterity55,DSH词典待复核,
01 初期参考,49,公共,属性,dexterity82_,DSH词典待复核,
01 初期参考,50,公共,技能速度,movement_speed5,DSH词典待复核,
01 初期参考,51,公共,技能速度,movement_speed4,DSH词典待复核,
01 初期参考,52,公共,加速,movement_speed9,DSH词典待复核,
01 初期参考,53,公共,属性,dexterity52,DSH词典待复核,
01 初期参考,54,公共,属性,dexterity51,DSH词典待复核,
01 初期参考,55,公共,属性,attributes10,DSH词典待复核,
01 初期参考,56,公共,属性,dexterity50,DSH词典待复核,
01 初期参考,57,公共,闪避,evasion24_,DSH词典待复核,
01 初期参考,58,公共,闪避,evasion28,DSH词典待复核,
01 初期参考,59,公共,猛兽之肤,evasion33,简体资料有来源,https://poe2db.tw/cn/Beastial_Skin
01 初期参考,60,公共,偏转和闪避,evasion27,DSH词典待复核,
01 初期参考,61,公共,偏转和闪避,evasion22,DSH词典待复核,
01 初期参考,62,公共,强化反射,evasion32,DSH词典待复核,
01 初期参考,63,公共,闪避,evasion21,DSH词典待复核,
01 初期参考,64,公共,攻击冰霜伤害,cold44,DSH词典待复核,
01 初期参考,65,公共,攻击冰霜伤害,cold45,DSH词典待复核,
01 初期参考,66,公共,深度冻结,cold48,DSH词典待复核,
01 初期参考,67,公共,珠宝插槽,jewel_slot1976,DSH词典待复核,
01 初期参考,68,公共,强化攻击冻结积蓄,cold50,DSH词典待复核,
01 初期参考,69,公共,强化攻击冻结积蓄,cold49,DSH词典待复核,
01 初期参考,70,公共,冰雹骤降,cold51,DSH词典待复核,
01 初期参考,71,公共,闪避,azmerianimals38,DSH词典待复核,
01 初期参考,72,公共,偏转,azmerianimals40,DSH词典待复核,
01 初期参考,73,公共,偏转,azmerianimals41,DSH词典待复核,
01 初期参考,74,公共,荒野之豹,azmerianimals42,简体资料有来源,https://poe2db.tw/cn/The_Wild_Cat
01 初期参考,75,公共,对近期击中的闪避值,attack_speed59,DSH词典待复核,
01 初期参考,76,武器组1,攻击伤害,attack41__,DSH词典待复核,
01 初期参考,77,武器组1,攻击伤害,attack42,DSH词典待复核,
01 初期参考,78,武器组1,攻击伤害,attack43,DSH词典待复核,
01 初期参考,79,武器组1,连续攻击,attack45,DSH词典待复核,
01 初期参考,80,武器组1,攻击伤害,attack13_,DSH词典待复核,
01 初期参考,81,武器组1,攻击伤害,attack14,DSH词典待复核,
01 初期参考,82,武器组1,致盲打击,attack16,DSH词典待复核,
01 初期参考,83,武器组1,冰霜穿透,cold_penetration6,DSH词典待复核,
01 初期参考,84,武器组1,冰霜穿透,cold_penetration1,DSH词典待复核,
01 初期参考,85,武器组1,冰霜穿透,cold_penetration7,DSH词典待复核,
01 初期参考,86,武器组1,破雪者,cold_penetration24,DSH词典待复核,
01 初期参考,87,武器组1,瘫痪打击,attack5,DSH词典待复核,
01 初期参考,88,武器组1,捷伤害,heralds12_,DSH词典待复核,
01 初期参考,89,武器组1,捷伤害,heralds10,DSH词典待复核,
01 初期参考,90,武器组1,灾难使者,heralds16_,DSH词典待复核,
01 初期参考,91,武器组1,额外箭矢几率,bow19,DSH词典待复核,
01 初期参考,92,武器组1,额外箭矢几率,bow20,DSH词典待复核,
01 初期参考,93,武器组1,额外箭矢几率,bow21,DSH词典待复核,
01 初期参考,94,武器组1,巧手连射,bow23,DSH词典待复核,
01 初期参考,95,武器组1,攻击伤害,attack35,DSH词典待复核,
01 初期参考,96,武器组1,攻击伤害,attack36,DSH词典待复核,
01 初期参考,97,武器组1,元素攻击伤害,elemental54,DSH词典待复核,
01 初期参考,98,武器组1,元素攻击伤害,elemental55,DSH词典待复核,
01 初期参考,99,武器组1,原始裂解,elemental56,DSH词典待复核,
01 初期参考,100,武器组2,属性,dexterity81,DSH词典待复核,
01 初期参考,101,武器组2,属性,attributes9,DSH词典待复核,
01 初期参考,102,武器组2,印记效果,marks16,DSH词典待复核,
